materia,tema,subtema,dificultad,enunciado
Cálculo I,Límites y continuidad,Cálculo de límites algebraicos,Parcial,Calcula el límite:\n  lim(x→3)  (x³ - 27) / (x² - 9)\n\nFactoriza cuidadosamente numerador y denominador antes de cancelar.
Cálculo I,Límites y continuidad,Cálculo de límites algebraicos,Parcial,Evalúa:\n  lim(x→0)  (√(1+x) - 1) / x\n\nRacionaliza el numerador multiplicando por el conjugado.
Cálculo I,Límites y continuidad,Cálculo de límites algebraicos,Final,Calcula el límite lateral y determina si el límite existe:\n  lim(x→2)  |x-2| / (x²-4)\n\nAnaliza x→2⁺ y x→2⁻ por separado.
Cálculo I,Límites y continuidad,Límites al infinito y asíntotas,Parcial,Encuentra las asíntotas horizontales y verticales de:\n  f(x) = (3x² - 5x + 1) / (x² - 4)\n\nDetermina también el comportamiento en x→±∞.
Cálculo I,Límites y continuidad,Límites al infinito y asíntotas,Final,Evalúa:\n  lim(x→∞)  x · sin(1/x)\n\nHint: haz la sustitución t = 1/x y analiza el límite resultante.
Cálculo I,Límites y continuidad,Límites al infinito y asíntotas,Avanzado,Calcula:\n  lim(x→∞)  (1 + a/x)^x\n\nExpresa el resultado en términos de e y justifica usando la definición del número e.
Cálculo I,Límites y continuidad,Regla de L'Hôpital,Parcial,Usa L'Hôpital para calcular:\n  lim(x→0)  (e^x - 1 - x) / x²
Cálculo I,Límites y continuidad,Regla de L'Hôpital,Final,Aplica L'Hôpital las veces necesarias:\n  lim(x→0)  (sin x - x + x³/6) / x⁵
Cálculo I,Límites y continuidad,Regla de L'Hôpital,Avanzado,Evalúa la forma indeterminada 0·∞ convirtiéndola a 0/0 o ∞/∞:\n  lim(x→0⁺)  x · ln(x)\n\nLuego deduce lim(x→0⁺) x^x.
Cálculo I,Límites y continuidad,Continuidad y clasificación de discontinuidades,Parcial,Clasifica la discontinuidad de f en x=0 y x=2:\n  f(x) = (x²-4) / (x(x-2))\n\nDetermina si alguna es removible y redefine f para hacerla continua.
Cálculo I,Límites y continuidad,Continuidad y clasificación de discontinuidades,Final,"Encuentra los valores de a y b que hacen continua en todo ℝ a:\n  f(x) = { ax² + b,     x < 1\n           3x - 1,      1 ≤ x ≤ 2\n           b·x - a,     x > 2 }"
Cálculo I,Diferenciación,Definición y reglas básicas,Parcial,Usa la definición límite de la derivada para encontrar f'(x) si:\n  f(x) = √(3x + 1)\n\nNo uses atajos — aplica lim(h→0) [f(x+h)-f(x)]/h directamente.
Cálculo I,Diferenciación,Definición y reglas básicas,Parcial,"Deriva usando reglas (producto, cociente, cadena):\n  f(x) = (x² + 1)³ · e^(2x) / sin(x)"
Cálculo I,Diferenciación,Definición y reglas básicas,Final,Encuentra f'(x) para:\n  f(x) = arctan(√(x²-1)) - ln(x + √(x²-1))\n\nSimplifica al máximo la expresión resultante.
Cálculo I,Diferenciación,Regla de la cadena y derivadas implícitas,Parcial,Encuentra dy/dx si:\n  x³ + 3xy + y³ = 7\n\nDiferencia implícitamente y despeja dy/dx.
Cálculo I,Diferenciación,Regla de la cadena y derivadas implícitas,Final,"Dada la curva implícita x·sin(y) + y·cos(x) = 1:\na) Encuentra dy/dx.\nb) Determina la ecuación de la recta tangente en (0, π/2)."
Cálculo I,Diferenciación,Regla de la cadena y derivadas implícitas,Avanzado,"Si f(x) = g(h(x)) y se sabe que:\n  g(2)=5, g'(2)=-3, h(1)=2, h'(1)=4\n\nCalcula f'(1). Luego, si además g''(2)=6 y h''(1)=1, calcula f''(1)."
Cálculo I,Diferenciación,Derivadas de funciones trascendentes,Parcial,Deriva:\n  f(x) = x^(sin x)\n\nUsa logaritmos para transformar antes de derivar (logarithmic differentiation).
Cálculo I,Diferenciación,Derivadas de funciones trascendentes,Final,Encuentra f'(x) para cada función:\n  a) f(x) = arcsin(2x√(1-x²))\n  b) f(x) = ln|sec(x) + tan(x)|\n  c) f(x) = e^(x²) · erfc(x)  [donde erfc'(x) = -2e^(-x²)/√π]
Cálculo I,Diferenciación,Derivadas de funciones trascendentes,Avanzado,Demuestra que si y = (arcsin x)² entonces:\n  (1-x²)·y'' - x·y' = 2\n\nLuego usa inducción para encontrar la fórmula general de y^(n)(0).
Cálculo I,Diferenciación,Aplicaciones: optimización y razones de cambio,Final,"Una escalera de 10 m recarga contra una pared vertical. Su pie se aleja a 0.5 m/s.\na) ¿A qué rapidez baja el tope cuando la base está a 6 m de la pared?\nb) ¿A qué ángulo con el suelo estará en ese instante, y con qué rapidez cambia ese ángulo?"
Cálculo I,Diferenciación,Aplicaciones: optimización y razones de cambio,Final,"Una caja sin tapa, de base cuadrada, se construye con 300 cm² de cartón.\na) Escribe el volumen V en función del lado x de la base.\nb) Encuentra las dimensiones que maximizan el volumen.\nc) Verifica que es un máximo usando la segunda derivada."
Cálculo I,Diferenciación,Aplicaciones: optimización y razones de cambio,Avanzado,"Un canal de irrigación tiene sección transversal trapezoidal de fondo b y lados que forman ángulo θ con la vertical.\nDado que el perímetro mojado P = b + 2h/cos θ es fijo (para minimizar pérdidas), demuestra que la sección hidráulica óptima satisface b = 2h·tan θ y que el ángulo óptimo es θ = 30° (sección semicircular inscrita)."
Cálculo I,Integración,Integral indefinida y técnicas básicas,Parcial,Calcula la integral:\n  ∫ (x³ - 3x + 2) / x² dx\n\nDivide antes de integrar término a término.
Cálculo I,Integración,Integral indefinida y técnicas básicas,Parcial,Usa sustitución u:\n  ∫ x·e^(x²) dx     y     ∫ sin³(x)·cos(x) dx
Cálculo I,Integración,Integral indefinida y técnicas básicas,Final,Evalúa:\n  ∫ (2x + 3) / (x² + 4x + 13) dx\n\nCompleta el cuadrado en el denominador y separa en dos integrales.
Cálculo I,Integración,Integral definida y Teorema Fundamental,Parcial,Sea F(x) = ∫₁^(x²) ln(t) dt.\nCalcula F'(x) usando el Teorema Fundamental del Cálculo (parte 1).
Cálculo I,Integración,Integral definida y Teorema Fundamental,Final,"Calcula el área exacta entre las curvas:\n  y = x³   e   y = 4x\n\nEncuentra las intersecciones, dibuja (mentalmente) la región y evalúa la integral apropiada."
Cálculo I,Integración,Integral definida y Teorema Fundamental,Avanzado,"Demuestra que:\n  ∫₀^(π/2) ln(sin x) dx = -(π/2)·ln 2\n\nHint: usa la simetría del seno y la integral de ln(cos x), luego suma ambas."
Cálculo I,Integración,Integración por partes,Parcial,Evalúa:\n  ∫ x²·sin(x) dx\n\nAplica integración por partes dos veces.
Cálculo I,Integración,Integración por partes,Final,Calcula:\n  ∫ e^x·sin(x) dx\n\nAplica partes dos veces y resuelve la ecuación resultante despejando la integral.
